Date,Annual CO₂ emissions (zero filled),Cumulative co2 emissions
1880,853704640.0,853704640.0
1881,882405060.0,1736109700.0
1882,931921900.0,2668031600.0
1883,991032400.0,3659064000.0
1884,1002174300.0,4661238300.0
1885,1009671360.0,5670909660.0
1886,1025475460.0,6696385120.0
1887,1076757800.0,7773142920.0
1888,1192271900.0,8965414820.0
1889,1191799600.0,10157214420.0
1890,1298458200.0,11455672620.0
1891,1358873900.0,12814546520.0
1892,1370088300.0,14184634820.0
1893,1353668700.0,15538303520.0
1894,1400857700.0,16939161220.0
1895,1485272600.0,18424433820.0
1896,1533701400.0,19958135220.0
1897,1606300500.0,21564435720.0
1898,1694265700.0,23258701420.0
1899,1850798100.0,25109499520.0
1900,1952209500.0,27061709020.0
1901,2016744400.0,29078453420.0
1902,2067684100.0,31146137520.0
1903,2254094800.0,33400232320.0
1904,2279748900.0,35679981220.0
1905,2427313200.0,38107294420.0
1906,2534734300.0,40642028720.0
1907,2888308000.0,43530336720.0
1908,2776404200.0,46306740920.0
1909,2890468000.0,49197208920.0
1910,3033820000.0,52231028920.0
1911,3079214800.0,55310243720.0
1912,3235538400.0,58545782120.0
1913,3505865200.0,62051647320.0
1914,3179912400.0,65231559720.0
1915,3134378200.0,68365937920.0
1916,3385277400.0,71751215320.0
1917,3539852500.0,75291067820.0
1918,3492840000.0,78783907820.0
1919,3028560000.0,81812467820.0
1920,3521062400.0,85333530220.0
1921,3089464300.0,88422994520.0
1922,3239735800.0,91662730320.0
1923,3675398000.0,95338128320.0
1924,3686099200.0,99024227520.0
1925,3725636600.0,102749864120.0
1926,3659297000.0,106409161120.0
1927,3993753900.0,110402915020.0
1928,3976071200.0,114378986220.0
1929,4267657200.0,118646643420.0
1930,3934730000.0,122581373420.0
1931,3516940500.0,126098313920.0
1932,3170800600.0,129269114520.0
1933,3338349300.0,132607463820.0
1934,3630765300.0,136238229120.0
1935,3811112000.0,140049341120.0
1936,4181088300.0,144230429420.0
1937,4469369300.0,148699798720.0
1938,4201279700.0,152901078420.0
1939,4445443000.0,157346521420.0
1940,4854657500.0,162201178920.0
1941,4965649000.0,167166827920.0
1942,4953623600.0,172120451520.0
1943,5035077000.0,177155528520.0
1944,5110656000.0,182266184520.0
1945,4250264000.0,186516448520.0
1946,4638339000.0,191154787520.0
1947,5138490000.0,196293277520.0
1948,5415709700.0,201708987220.0
1949,5245849000.0,206954836220.0
1950,6003272000.0,212958108220.0
1951,6379796500.0,219337904720.0
1952,6465727000.0,225803631720.0
1953,6647763000.0,232451394720.0
1954,6789969000.0,239241363720.0
1955,7443244000.0,246684607720.0
1956,7924253000.0,254608860720.0
1957,8185547000.0,262794407720.0
1958,8417624000.0,271212031720.0
1959,8856221000.0,280068252720.0
1960,9387668000.0,289455920720.0
1961,9418460000.0,298874380720.0
1962,9751059000.0,308625439720.0
1963,10271655000.0,318897094720.0
1964,10829612000.0,329726706720.0
1965,11317596000.0,341044302720.0
1966,11866933000.0,352911235720.0
1967,12244029000.0,365155264720.0
1968,12910892000.0,378066156720.0
1969,13767398000.0,391833554720.0
1970,14898716000.0,406732270720.0
1971,15505496000.0,422237766720.0
1972,16228730000.0,438466496720.0
1973,17086194000.0,455552690720.0
1974,17017476000.0,472570166720.0
1975,17054627000.0,489624793720.0
1976,17991887000.0,507616680720.0
1977,18502846000.0,526119526720.0
1978,19077194000.0,545196720720.0
1979,19618464000.0,564815184720.0
1980,19501263000.0,584316447720.0
1981,19036117000.0,603352564720.0
1982,18884487000.0,622237051720.0
1983,19006540000.0,641243591720.0
1984,19664755000.0,660908346720.0
1985,20325487000.0,681233833720.0
1986,20627360000.0,701861193720.0
1987,21273905000.0,723135098720.0
1988,22107795000.0,745242893720.0
1989,22410402000.0,767653295720.0
1990,22757480000.0,790410775720.0
1991,23244806000.0,813655581720.0
1992,22580023000.0,836235604720.0
1993,22812901000.0,859048505720.0
1994,22969498000.0,882018003720.0
1995,23458714000.0,905476717720.0
1996,24159384000.0,929636101720.0
1997,24302584000.0,953938685720.0
1998,24213260000.0,978151945720.0
1999,24732390000.0,1002884335720.0
2000,25453623000.0,1028337958720.0
2001,25668049000.0,1054006007720.0
2002,26281038000.0,1080287045720.0
2003,27651596000.0,1107938641720.0
2004,28636695000.0,1136575336720.0
2005,29614602000.0,1166189938720.0
2006,30593118000.0,1196783056720.0
2007,31506788000.0,1228289844720.0
2008,32085836000.0,1260375680720.0
2009,31564032000.0,1291939712720.0
2010,33364347000.0,1325304059720.0
2011,34487013000.0,1359791072720.0
2012,35006270000.0,1394797342720.0
2013,35319200000.0,1430116542720.0
2014,35577537000.0,1465694079720.0
2015,35558568000.0,1501252647720.0
2016,35524190000.0,1536776837720.0
2017,36096737000.0,1572873574720.0
2018,36826510000.0,1609700084720.0
2019,37082560000.0,1646782644720.0
2020,35264086000.0,1682046730720.0
